name,mass (g),GeoLocation
Futtehpur,4000,"(25.950000, 80.816670)"
Fuyang,2500,"(32.900000, 115.900000)"
Galapian,133,"(44.300000, 0.400000)"
Galim (a),36,"(7.050000, 12.433330)"
Galim (b),28,"(7.050000, 12.433330)"
Galkiv,5000,"(51.683330, 30.783330)"
Gambat,6400,"(27.350000, 68.533330)"
Gao-Guenie,,"(11.650000, -2.183330)"
Garhi Yasin,380,"(27.883330, 68.533330)"
Garland,102,"(41.683330, -112.133330)"
Gashua,4162,"(12.850000, 11.033330)"
Gasseltepaoua,,"(14.150830, -2.041670)"
Geidam,725,"(12.916670, 11.916670)"
Gifu,14290,"(35.533330, 136.883330)"
Girgenti,18000,"(37.316670, 13.566670)"
Git-Git,480,"(9.600000, 9.916670)"
Glanerbrug,670,"(52.200000, 6.866670)"
Glanggang,1303,"(-7.250000, 107.700000)"
Glasatovo,152000,"(57.350000, 37.616670)"
Glatton,767,"(52.459720, -0.300000)"
Gnadenfrei,1750,"(50.666670, 16.766670)"
Gopalpur,1600,"(24.233330, 89.050000)"
Gorlovka,3618,"(48.283330, 38.083330)"
Granes,9000,"(42.900000, 2.250000)"
Grefsheim,46,"(60.666670, 11.000000)"
Grimsby,215,"(43.200000, -79.616670)"
Grosnaja,3500,"(43.666670, 45.383330)"
Gross-Divina,10500,"(49.266670, 18.716670)"
Grossliebenthal,8000,"(46.350000, 30.583330)"
Grüneberg,1000,"(51.933330, 15.500000)"
Grzempach,690,"(52.866670, 16.633330)"
Gualeguaychú,22000,"(-33.000000, -58.616670)"
Guangmingshan,2910,"(39.804170, 122.763890)"
Guangnan,,"(24.100000, 105.000000)"
Guangrao,1900,"(37.100000, 118.400000)"
Guareña,39000,"(38.733330, -6.016670)"
Guêa,1915,"(43.766670, 20.233330)"
Guibga,288,"(13.500000, -0.683330)"
Guidder,968,"(9.916670, 13.983330)"
Gujargaon,2449,"(22.983330, 76.050000)"
Gujba,100000,"(11.491670, 11.658330)"
Gumoschnik,5700,"(42.900000, 24.700000)"
Gurram Konda,28,"(13.783330, 78.566670)"
Gursum,34650,"(9.366670, 42.416670)"
Gütersloh,1000,"(51.916670, 8.383330)"
Gyokukei,1320,"(35.000000, 127.500000)"
Hachi-oji,0,"(35.650000, 139.333330)"
Hainaut,9000,"(50.316670, 3.733330)"
Hallingeberg,1456,"(57.816670, 16.233330)"
Hamlet,3710,"(41.383330, -86.600000)"
Haraiya,1000,"(26.800000, 82.533330)"
Haripura,315,"(28.383330, 75.783330)"
Harleton,8360,"(32.675000, -94.511670)"
Harrison County,680,"(38.250000, -86.166670)"
Hashima,1111,"(35.294500, 136.700330)"
Hassi-Jekna,1250,"(28.950000, 0.816670)"
