name,mass (g),GeoLocation
Northwest Africa 1903,692,
Northwest Africa 1904,152,
Northwest Africa 1905,994,
Northwest Africa 1906,560,
Northwest Africa 1907,476,
Northwest Africa 1908,980,
Northwest Africa 1909,1200,
Northwest Africa 1910,305,
Northwest Africa 1911,53,
Northwest Africa 1912,14,
Northwest Africa 1913,731,
Northwest Africa 1914,628,
Northwest Africa 1918,136,
Northwest Africa 1923,112,
Northwest Africa 1924,255,
Northwest Africa 1925,86,
Northwest Africa 1926,37,
Northwest Africa 1927,14,
Northwest Africa 1928,154,
Northwest Africa 1929,922,
Northwest Africa 1930,7500,
Northwest Africa 1931,267,
Northwest Africa 1932,125,
Northwest Africa 1933,1018,
Northwest Africa 1934,8000,
Northwest Africa 1935,581,
Northwest Africa 1936,2146,
Northwest Africa 1937,43,
Northwest Africa 1938,21,
Northwest Africa 1939,100,
Northwest Africa 1940,1131,
Northwest Africa 1941,16000,
Northwest Africa 1942,457,
Northwest Africa 1943,1220,
Northwest Africa 1944,632,
Northwest Africa 1945,242,
Northwest Africa 1946,301,
Northwest Africa 1947,63,
Northwest Africa 1948,116,
Northwest Africa 1949,1400,
Northwest Africa 1950,812,
Northwest Africa 1951,17000,
Northwest Africa 1952,636,
Northwest Africa 1955,2000,
Northwest Africa 1957,6593,
Northwest Africa 1958,244,
Northwest Africa 1959,209,
Northwest Africa 1960,206,
Northwest Africa 1961,288,
Northwest Africa 1962,150,
Northwest Africa 1963,146,
Northwest Africa 1964,140,
Northwest Africa 1965,118,
Northwest Africa 1966,86,
Northwest Africa 1967,83,
Northwest Africa 1968,80,
Northwest Africa 1969,74,
Northwest Africa 1970,69,
Northwest Africa 1971,66,
Northwest Africa 1972,64,
Northwest Africa 1973,57,
Northwest Africa 1974,39,
Northwest Africa 1975,28,
Northwest Africa 1976,66,
Northwest Africa 1977,69,
Northwest Africa 1978,617,
Northwest Africa 1979,5120,
Northwest Africa 1980,546,
Northwest Africa 1981,197,
Northwest Africa 1982,368,
Northwest Africa 1983,662,
Northwest Africa 1984,1360,
Northwest Africa 1985,59,
Northwest Africa 1986,24,
Northwest Africa 1987,71,
Northwest Africa 1988,21,
Northwest Africa 1989,44,"(0.000000, 0.000000)"
Northwest Africa 1990,21,
Northwest Africa 1991,250,
Northwest Africa 1992,200,
Northwest Africa 1993,1670,
Northwest Africa 1994,34,
Northwest Africa 1995,47,
Northwest Africa 1996,86,
Northwest Africa 1997,65,
Northwest Africa 1998,116,
Northwest Africa 1999,129,
Northwest Africa 2000,1981,
Northwest Africa 2001,832,"(0.000000, 0.000000)"
Northwest Africa 2002,191,
Northwest Africa 2003,1877,
Northwest Africa 2004,252,
Northwest Africa 2005,506,
Northwest Africa 2006,838,
Northwest Africa 2007,822,
Northwest Africa 2008,142,
Northwest Africa 2009,1220,
Northwest Africa 2010,145,
Northwest Africa 2011,137,
Northwest Africa 2012,88,
Northwest Africa 2013,164,
Northwest Africa 2014,255,
Northwest Africa 2015,544,
Northwest Africa 2016,215,
Northwest Africa 2017,99,"(31.700000, -3.300000)"
Northwest Africa 2018,400,
Northwest Africa 2019,534,
Northwest Africa 2020,94,
Northwest Africa 2021,58,"(0.000000, 0.000000)"
Northwest Africa 2026,28,"(0.000000, 0.000000)"
Northwest Africa 2027,89,"(0.000000, 0.000000)"
Northwest Africa 2028,26,"(0.000000, 0.000000)"
Northwest Africa 2029,81,"(0.000000, 0.000000)"
Northwest Africa 2030,18,"(0.000000, 0.000000)"
Northwest Africa 2031,29,"(0.000000, 0.000000)"
Northwest Africa 2032,393,"(0.000000, 0.000000)"
Northwest Africa 2033,16500,
Northwest Africa 2034,240,"(0.000000, 0.000000)"
Northwest Africa 2035,6580,"(0.000000, 0.000000)"
Northwest Africa 2036,390,"(31.591670, -5.766670)"
Northwest Africa 2037,8,
Northwest Africa 2038,800,
Northwest Africa 2040,1200,
Northwest Africa 2041,4500,
Northwest Africa 2042,700,
Northwest Africa 2043,35,"(0.000000, 0.000000)"
Northwest Africa 2044,661,
Northwest Africa 2045,19,
Northwest Africa 2046,63,
Northwest Africa 2048,45,
Northwest Africa 2055,148,
Northwest Africa 2056,1447,
Northwest Africa 2057,958,
Northwest Africa 2058,80,
Northwest Africa 2059,36,
Northwest Africa 2060,985,
Northwest Africa 2061,135,
Northwest Africa 2062,50,
Northwest Africa 2063,96,
Northwest Africa 2064,94,
Northwest Africa 2065,58,
Northwest Africa 2066,58,
Northwest Africa 2068,134,
Northwest Africa 2069,45,
Northwest Africa 2070,90,
Northwest Africa 2071,816,
Northwest Africa 2072,1,
Northwest Africa 2073,8,
Northwest Africa 2074,174,
Northwest Africa 2075,484,
Northwest Africa 2076,338,
Northwest Africa 2077,1,
Northwest Africa 2078,35,
Northwest Africa 2079,496,
Northwest Africa 2081,114,
Northwest Africa 2082,33,
Northwest Africa 2083,144,
Northwest Africa 2084,786,
Northwest Africa 2085,2700,
Northwest Africa 2086,780,
Northwest Africa 2087,35,
Northwest Africa 2088,252,
Northwest Africa 2089,429,
Northwest Africa 2090,875,
Northwest Africa 2091,580,
Northwest Africa 2092,320,
Northwest Africa 2096,922,
Northwest Africa 2097,158,
Northwest Africa 2098,1333,
Northwest Africa 2099,124,
Northwest Africa 2105,168,
Northwest Africa 2106,322,
Northwest Africa 2107,491,
Northwest Africa 2108,385,
Northwest Africa 2109,62,
Northwest Africa 2110,28,
Northwest Africa 2111,984,
Northwest Africa 2112,67,
Northwest Africa 2114,89,
Northwest Africa 2115,642,
Northwest Africa 2117,197,
Northwest Africa 2118,42,
Northwest Africa 2119,42,
Northwest Africa 2120,702,
Northwest Africa 2121,25,
Northwest Africa 2122,1020,
Northwest Africa 2123,351,
Northwest Africa 2124,67,
Northwest Africa 2125,7000,
Northwest Africa 2126,227,
Northwest Africa 2127,45,
Northwest Africa 2128,40,
Northwest Africa 2129,994,
Northwest Africa 2130,506,
Northwest Africa 2131,596,
Northwest Africa 2132,1006,
Northwest Africa 2133,120,
Northwest Africa 2134,916,
Northwest Africa 2135,421,
Northwest Africa 2136,1045,
Northwest Africa 2137,6174,
Northwest Africa 2138,144,
Northwest Africa 2139,146,
Northwest Africa 2140,314,
Northwest Africa 2141,145,
Northwest Africa 2142,421,
Northwest Africa 2151,417,"(0.000000, 0.000000)"
Northwest Africa 2152,226,
Northwest Africa 2153,353,
Northwest Africa 2154,233,
Northwest Africa 2155,36,
Northwest Africa 2156,27,
Northwest Africa 2157,115,
Northwest Africa 2158,10,
Northwest Africa 2159,89,
Northwest Africa 2160,31,
Northwest Africa 2161,570,
Northwest Africa 2162,417,
Northwest Africa 2163,289,
Northwest Africa 2164,64,
Northwest Africa 2263,135,"(27.816670, -7.833330)"
Northwest Africa 2165,57,
Northwest Africa 2166,92,
Northwest Africa 2167,55,
Northwest Africa 2168,18,
Northwest Africa 2169,5,
Northwest Africa 2170,480,
Northwest Africa 2171,14,
Northwest Africa 2173,13000,
Northwest Africa 2174,300,
Northwest Africa 2175,700,
Northwest Africa 2176,1200,
Northwest Africa 2177,75,
Northwest Africa 2179,367,
Northwest Africa 2180,369,
Northwest Africa 2181,448,
Northwest Africa 2182,104,
Northwest Africa 2183,56,
Northwest Africa 2184,83,
Northwest Africa 2185,96,
Northwest Africa 2186,316,
Northwest Africa 2187,308,
Northwest Africa 2188,129,
Northwest Africa 2189,32,
Northwest Africa 2193,785,
Northwest Africa 2195,153,
Northwest Africa 2196,142,
Northwest Africa 2197,293,
Northwest Africa 2198,38,
Northwest Africa 2199,2000,
Northwest Africa 2200,552,
Northwest Africa 2201,27,
Northwest Africa 2202,140,"(0.000000, 0.000000)"
Northwest Africa 2204,5587,
Northwest Africa 2205,1247,
Northwest Africa 2206,182,
Northwest Africa 2207,1060,
Northwest Africa 2208,243,
Northwest Africa 2209,146,
Northwest Africa 2210,74,
Northwest Africa 2211,27690,"(0.000000, 0.000000)"
Northwest Africa 2212,322,
Northwest Africa 2213,125,
Northwest Africa 2214,340,
Northwest Africa 2215,289,
Northwest Africa 2216,345,
Northwest Africa 2217,5656,
Northwest Africa 2218,6050,
Northwest Africa 2219,260,
Northwest Africa 222,164,
Northwest Africa 2220,241,"(0.000000, 0.000000)"
Northwest Africa 2221,38,
Northwest Africa 2225,40,
Northwest Africa 2226,1004,
Northwest Africa 2227,302,
Northwest Africa 2233,167,
Northwest Africa 2234,422,"(30.916670, -4.900000)"
Northwest Africa 2235,64,
Northwest Africa 2236,30,
Northwest Africa 2237,2300,
Northwest Africa 2238,12000,
Northwest Africa 2239,100000,
Northwest Africa 224,148,
Northwest Africa 2240,420,
Northwest Africa 2241,190,
Northwest Africa 2242,124,
Northwest Africa 2243,2000,
Northwest Africa 2244,290,
Northwest Africa 2245,280,
Northwest Africa 2246,12,
Northwest Africa 2247,9,
Northwest Africa 2248,40,
Northwest Africa 2249,31,
Northwest Africa 2250,1555,
Northwest Africa 2251,17,"(27.966670, -7.950000)"
Northwest Africa 2252,65,"(27.816670, -7.850000)"
Northwest Africa 2253,81,"(28.166670, -7.900000)"
Northwest Africa 2254,130,"(28.200000, -7.750000)"
Northwest Africa 2255,111,"(27.933330, -7.783330)"
Northwest Africa 2256,215,"(27.766670, -7.666670)"
Northwest Africa 2257,48,"(28.500000, -7.900000)"
Northwest Africa 2258,57,"(28.583330, -7.966670)"
Northwest Africa 2259,485,"(28.600000, -7.983330)"
Northwest Africa 2260,59,"(27.933330, -7.900000)"
Northwest Africa 2261,62,"(27.733330, -7.850000)"
Northwest Africa 2262,139,"(27.800000, -7.950000)"
Northwest Africa 2264,40,"(27.916670, -7.500000)"
Northwest Africa 2265,40,"(28.666670, -7.533330)"
Northwest Africa 2266,34,"(28.750000, -7.583330)"
Northwest Africa 2267,25,"(28.100000, -7.516670)"
Northwest Africa 2268,65,"(28.233330, -7.883330)"
Northwest Africa 2269,184,"(27.966670, -7.950000)"
Northwest Africa 2271,434,
Northwest Africa 2272,22,
Northwest Africa 2273,39,
Northwest Africa 2274,15,
Northwest Africa 2275,164,
Northwest Africa 2276,410,
Northwest Africa 2277,1694,
Northwest Africa 2278,62,
Northwest Africa 2279,85,
Northwest Africa 2280,147,
Northwest Africa 2281,180,
Northwest Africa 2282,155,
Northwest Africa 2283,106,
Northwest Africa 2284,46,
Northwest Africa 2285,126,
Northwest Africa 2286,82,
Northwest Africa 2287,50,
Northwest Africa 2288,150,
Northwest Africa 2289,160,
Northwest Africa 2290,134,
Northwest Africa 2291,300,
Northwest Africa 2292,350,
Northwest Africa 2293,107,
Northwest Africa 2294,984,
Northwest Africa 2295,858,
Northwest Africa 2296,3600,
Northwest Africa 2297,1635,
Northwest Africa 2298,474,
Northwest Africa 2299,3826,
Northwest Africa 230,1548,
Northwest Africa 2300,144,
Northwest Africa 2301,167,
Northwest Africa 2302,51,
Northwest Africa 2303,3435,
Northwest Africa 2304,7500,
Northwest Africa 2305,940,
Northwest Africa 2306,18,
Northwest Africa 2307,1905,
Northwest Africa 2311,1435,"(0.000000, 0.000000)"
Northwest Africa 2319,22,
Northwest Africa 2320,16,
Northwest Africa 2321,54,
Northwest Africa 2322,24,
Northwest Africa 2323,17,
Northwest Africa 2324,14,
Northwest Africa 2325,29,
Northwest Africa 2326,4,
Northwest Africa 2327,24,
Northwest Africa 2328,28,
Northwest Africa 2329,766,
Northwest Africa 233,143,
Northwest Africa 2330,719,
Northwest Africa 2331,331,
Northwest Africa 2332,127,
Northwest Africa 2333,13,
Northwest Africa 2334,3136,"(0.000000, 0.000000)"
Northwest Africa 2335,114,"(0.000000, 0.000000)"
Northwest Africa 2336,402,"(0.000000, 0.000000)"
Northwest Africa 2337,146,"(0.000000, 0.000000)"
Northwest Africa 2338,494,"(0.000000, 0.000000)"
Northwest Africa 2339,12,
Northwest Africa 234,42,
Northwest Africa 2340,5,
Northwest Africa 2341,196,
Northwest Africa 2342,65,
Northwest Africa 2343,145,
Northwest Africa 2344,30,
Northwest Africa 2345,40,
Northwest Africa 2346,23,
Northwest Africa 2347,38,
Northwest Africa 2348,365,"(0.000000, 0.000000)"
Northwest Africa 2349,98,"(0.000000, 0.000000)"
Northwest Africa 2350,142,
Northwest Africa 2351,189,
Northwest Africa 2352,302,
Northwest Africa 2353,315,
Northwest Africa 2354,727,
Northwest Africa 2355,286,
Northwest Africa 2356,53,
Northwest Africa 2357,427,
Northwest Africa 2358,328,
Northwest Africa 2359,1298,
Northwest Africa 236,119,
Northwest Africa 2360,56,
Northwest Africa 2361,263,
Northwest Africa 2362,252,
Northwest Africa 2363,120,
Northwest Africa 2364,1493,
Northwest Africa 2365,258,
Northwest Africa 2366,1239,
Northwest Africa 2367,168,
Northwest Africa 2368,170,
Northwest Africa 2369,220,
Northwest Africa 237,61,
Northwest Africa 2370,227,
Northwest Africa 2371,2950,
Northwest Africa 2372,440,
Northwest Africa 2373,18,
Northwest Africa 2374,31,
Northwest Africa 2375,544,
Northwest Africa 2376,123,
Northwest Africa 2377,327,
Northwest Africa 2378,3141,
Northwest Africa 2379,68,
Northwest Africa 2380,4526,
Northwest Africa 2381,132,
Northwest Africa 2382,298,
Northwest Africa 2383,58,
Northwest Africa 2384,418,
Northwest Africa 2385,410,
Northwest Africa 2386,440,
Northwest Africa 2388,81,
Northwest Africa 2389,156,
Northwest Africa 239,25,
Northwest Africa 2390,231,
Northwest Africa 2391,178,
Northwest Africa 2392,602,
Northwest Africa 2393,828,
Northwest Africa 2394,277,
Northwest Africa 2395,423,
Northwest Africa 2396,865,
Northwest Africa 2397,323,
Northwest Africa 2398,718,
Northwest Africa 2399,280,
Northwest Africa 240,2250,
Northwest Africa 2400,136,
Northwest Africa 241,12400,
Northwest Africa 242,1120,
Northwest Africa 2427,112,
Northwest Africa 2428,1650,
Northwest Africa 2429,206,
Northwest Africa 243,3142,
Northwest Africa 2430,50,
Northwest Africa 251,1120,"(29.916670, -5.583330)"
Northwest Africa 2431,36,
Northwest Africa 2432,29,
Northwest Africa 2433,24,
Northwest Africa 2434,441,
Northwest Africa 2439,660,
Northwest Africa 244,932,
Northwest Africa 2440,182,
Northwest Africa 2441,156,
Northwest Africa 2442,192,
Northwest Africa 2443,230,
Northwest Africa 2444,74,
Northwest Africa 2445,42,
Northwest Africa 2446,32,
Northwest Africa 2447,132,
Northwest Africa 2448,1545,
Northwest Africa 2449,284,
Northwest Africa 245,994,
Northwest Africa 2450,766,
Northwest Africa 2451,6370,
Northwest Africa 2452,176,
Northwest Africa 2453,2280,
Northwest Africa 2454,222,
Northwest Africa 2455,38,
Northwest Africa 2456,166,
Northwest Africa 2457,172,
Northwest Africa 2458,284,
Northwest Africa 2459,166,
Northwest Africa 246,1250,
Northwest Africa 2460,100,
Northwest Africa 2461,108,
Northwest Africa 2462,114,
Northwest Africa 2463,62,
Northwest Africa 2464,126,
Northwest Africa 2465,1167,
Northwest Africa 2466,446,
Northwest Africa 2467,65,
Northwest Africa 2468,25,
Northwest Africa 2469,348,
Northwest Africa 247,1050,
Northwest Africa 2470,266,
Northwest Africa 2471,374,
Northwest Africa 2472,362,
Northwest Africa 2473,60,
Northwest Africa 2474,62,
Northwest Africa 2475,116,
Northwest Africa 2476,110,
Northwest Africa 2477,176,
Northwest Africa 2478,473,
Northwest Africa 2479,38,
Northwest Africa 248,230,
Northwest Africa 2480,4,
Northwest Africa 2481,5009,
Northwest Africa 2482,1000,
Northwest Africa 2483,280,
Northwest Africa 2484,12,
Northwest Africa 2485,62,
Northwest Africa 2486,109,
Northwest Africa 2487,127,
Northwest Africa 2488,18000,
Northwest Africa 2489,14,
Northwest Africa 2490,60,
Northwest Africa 2491,651,
Northwest Africa 2492,162,
Northwest Africa 2493,288,
Northwest Africa 2494,490,
Northwest Africa 2495,149,
Northwest Africa 2496,132,
Northwest Africa 2497,166,
Northwest Africa 2498,6000,
Northwest Africa 2499,82,
Northwest Africa 250,11000,
Northwest Africa 2500,72,
Northwest Africa 2501,1165,
Northwest Africa 2502,590,
Northwest Africa 2503,400,
Northwest Africa 2504,382,
Northwest Africa 2505,390,
Northwest Africa 2506,395,
Northwest Africa 2507,28,
Northwest Africa 2508,15,
Northwest Africa 2509,4000,
Northwest Africa 2510,755,
Northwest Africa 2511,124,
Northwest Africa 2512,250,
Northwest Africa 2513,18,
Northwest Africa 2514,7,
Northwest Africa 2515,218,
Northwest Africa 2516,296,
Northwest Africa 2517,18,
Northwest Africa 2518,31,
Northwest Africa 2519,44,
Northwest Africa 252,10,"(29.916670, -5.583330)"
Northwest Africa 2520,76,
Northwest Africa 2521,48,
Northwest Africa 2522,135,
Northwest Africa 2526,43,
Northwest Africa 2527,600,
Northwest Africa 2528,5273,
Northwest Africa 2529,53,
Northwest Africa 253,114,"(29.916670, -5.583330)"
Northwest Africa 2530,57,
Northwest Africa 2531,210,
Northwest Africa 2532,33,
Northwest Africa 2533,190,
Northwest Africa 2534,593,
Northwest Africa 2535,187,
Northwest Africa 2536,51,
Northwest Africa 2537,65,
Northwest Africa 2604,7,"(0.000000, 0.000000)"
Northwest Africa 2538,215,
Northwest Africa 2539,34,
Northwest Africa 254,247,"(29.916670, -5.583330)"
Northwest Africa 2540,25,
Northwest Africa 2541,43,
Northwest Africa 2542,20,
Northwest Africa 2543,34,
Northwest Africa 2544,15,
Northwest Africa 2545,20,
Northwest Africa 2546,185,
Northwest Africa 2547,287,
Northwest Africa 2548,29,
Northwest Africa 2549,17,
Northwest Africa 255,340,"(29.916670, -5.583330)"
Northwest Africa 2550,14,
Northwest Africa 2557,19,"(0.000000, 0.000000)"
Northwest Africa 2558,46,"(0.000000, 0.000000)"
Northwest Africa 2559,412,"(0.000000, 0.000000)"
Northwest Africa 256,7000,"(29.916670, -5.583330)"
Northwest Africa 2560,549,"(0.000000, 0.000000)"
Northwest Africa 2561,68,"(0.000000, 0.000000)"
Northwest Africa 2562,52,"(0.000000, 0.000000)"
Northwest Africa 2563,1175,"(0.000000, 0.000000)"
Northwest Africa 2564,540,"(0.000000, 0.000000)"
Northwest Africa 2565,526,"(0.000000, 0.000000)"
Northwest Africa 2566,412,"(0.000000, 0.000000)"
Northwest Africa 2567,351,"(0.000000, 0.000000)"
Northwest Africa 2568,27,"(0.000000, 0.000000)"
Northwest Africa 2569,332,"(0.000000, 0.000000)"
Northwest Africa 257,360,"(29.916670, -5.583330)"
Northwest Africa 2570,12,
Northwest Africa 2605,15,"(0.000000, 0.000000)"
Northwest Africa 2571,256,
Northwest Africa 2572,441,
Northwest Africa 2573,224,"(0.000000, 0.000000)"
Northwest Africa 2574,316,"(0.000000, 0.000000)"
Northwest Africa 2575,255,"(0.000000, 0.000000)"
Northwest Africa 2576,402,
Northwest Africa 2577,357,"(0.000000, 0.000000)"
Northwest Africa 2578,77,
Northwest Africa 2579,51,
Northwest Africa 258,273,"(29.916670, -5.583330)"
Northwest Africa 2580,61,"(0.000000, 0.000000)"
Northwest Africa 2581,494,"(0.000000, 0.000000)"
Northwest Africa 2582,313,
Northwest Africa 2583,512,"(0.000000, 0.000000)"
Northwest Africa 2584,1051,
Northwest Africa 2585,548,"(0.000000, 0.000000)"
Northwest Africa 2586,24,"(0.000000, 0.000000)"
Northwest Africa 2587,26,"(0.000000, 0.000000)"
Northwest Africa 2588,24,"(0.000000, 0.000000)"
Northwest Africa 2589,63,"(0.000000, 0.000000)"
Northwest Africa 2590,25,"(0.000000, 0.000000)"
Northwest Africa 2591,50,"(0.000000, 0.000000)"
Northwest Africa 2592,33,"(0.000000, 0.000000)"
Northwest Africa 2593,24,"(0.000000, 0.000000)"
Northwest Africa 2594,87,"(0.000000, 0.000000)"
Northwest Africa 2595,59,"(0.000000, 0.000000)"
Northwest Africa 2596,12,"(0.000000, 0.000000)"
Northwest Africa 2597,74,"(0.000000, 0.000000)"
Northwest Africa 2598,28,"(0.000000, 0.000000)"
Northwest Africa 2599,235,"(0.000000, 0.000000)"
Northwest Africa 2600,407,"(0.000000, 0.000000)"
Northwest Africa 2601,576,"(0.000000, 0.000000)"
Northwest Africa 2602,5,"(0.000000, 0.000000)"
Northwest Africa 2603,22,"(0.000000, 0.000000)"
Northwest Africa 2606,165,"(0.000000, 0.000000)"
Northwest Africa 2607,499,"(0.000000, 0.000000)"
Northwest Africa 2608,12,"(0.000000, 0.000000)"
Northwest Africa 2609,2180,"(0.000000, 0.000000)"
Northwest Africa 2610,7000,"(0.000000, 0.000000)"
Northwest Africa 2611,1762,"(0.000000, 0.000000)"
Northwest Africa 2612,1109,"(0.000000, 0.000000)"
Northwest Africa 2613,20,"(0.000000, 0.000000)"
Northwest Africa 2614,1500,"(0.000000, 0.000000)"
Northwest Africa 2615,203,"(0.000000, 0.000000)"
Northwest Africa 2616,107,"(0.000000, 0.000000)"
Northwest Africa 2617,472,"(0.000000, 0.000000)"
Northwest Africa 2618,152,
Northwest Africa 2619,220,
Northwest Africa 2620,1304,
Northwest Africa 2621,4639,
Northwest Africa 2622,827,
Northwest Africa 2623,153,
Northwest Africa 2624,241,
Northwest Africa 2625,305,
Northwest Africa 2626,31,
Northwest Africa 2627,68,
Northwest Africa 2629,244,
Northwest Africa 2634,600,
Northwest Africa 2635,4200,
Northwest Africa 2639,539,
Northwest Africa 2641,97,
Northwest Africa 2644,216,
Northwest Africa 2645,166,
Northwest Africa 2646,9,
Northwest Africa 265,1334,
Northwest Africa 2651,89,
Northwest Africa 2656,7500,
Northwest Africa 266,940,"(30.333330, -5.833330)"
Northwest Africa 2668,165,
Northwest Africa 2669,336,
Northwest Africa 267,73900,
Northwest Africa 2670,67,
Northwest Africa 2671,117,
Northwest Africa 2672,425,
Northwest Africa 2673,45,
Northwest Africa 2674,92,
Northwest Africa 2675,3354,
Northwest Africa 2676,510,"(0.000000, 0.000000)"
Northwest Africa 2677,100,
Northwest Africa 2678,381,"(0.000000, 0.000000)"
Northwest Africa 2679,512,"(0.000000, 0.000000)"
Northwest Africa 2680,12050,"(0.000000, 0.000000)"
Northwest Africa 2681,37,
Northwest Africa 2690,15000,
Northwest Africa 2697,9424,
Northwest Africa 2698,134,
Northwest Africa 2699,1294,
Northwest Africa 2700,32,
Northwest Africa 2701,1168,
Northwest Africa 2702,215,
Northwest Africa 2703,121,
Northwest Africa 2704,871,
Northwest Africa 2705,30,
Northwest Africa 2706,1913,
Northwest Africa 2707,577,
Northwest Africa 2708,528,
Northwest Africa 2709,148,
Northwest Africa 2710,216,
Northwest Africa 2711,433,
Northwest Africa 2712,2500,
Northwest Africa 2713,184,
Northwest Africa 2714,1656,
Northwest Africa 2717,70,
Northwest Africa 2718,254,
Northwest Africa 2719,7581,
Northwest Africa 2720,155,
Northwest Africa 2721,47,
Northwest Africa 2722,707,
Northwest Africa 2723,169,
Northwest Africa 2724,3804,
Northwest Africa 2725,200,
Northwest Africa 2726,86,
Northwest Africa 2727,191,
Northwest Africa 2728,338,
Northwest Africa 2731,10,
Northwest Africa 2732,117,
Northwest Africa 2733,279,"(0.000000, 0.000000)"
Northwest Africa 2734,277,"(0.000000, 0.000000)"
Northwest Africa 2736,172,
Northwest Africa 2774,398,
Northwest Africa 2737,611,
Northwest Africa 2738,370,
Northwest Africa 2739,824,
Northwest Africa 2740,53822,
Northwest Africa 2741,1350,
Northwest Africa 2743,5463,"(0.000000, 0.000000)"
Northwest Africa 2748,57,
Northwest Africa 2749,1300,
Northwest Africa 2750,64,
Northwest Africa 2751,43,"(0.000000, 0.000000)"
Northwest Africa 2752,28,"(0.000000, 0.000000)"
Northwest Africa 2753,410,
Northwest Africa 2754,5500,
Northwest Africa 2758,678,
Northwest Africa 2760,607,
Northwest Africa 2761,234,
Northwest Africa 2762,156,
Northwest Africa 2763,69,
Northwest Africa 2764,134,
Northwest Africa 2765,68,
Northwest Africa 2766,214,
Northwest Africa 2767,82,
Northwest Africa 2768,2200,
Northwest Africa 2769,126,
Northwest Africa 2770,58,
Northwest Africa 2771,390,
Northwest Africa 2772,35,
Northwest Africa 2773,656,
Northwest Africa 2775,222,
Northwest Africa 2776,289,
Northwest Africa 2777,1987,
Northwest Africa 2778,442,
Northwest Africa 2779,1537,
Northwest Africa 2781,528,
Northwest Africa 2782,330,
Northwest Africa 2783,176,
Northwest Africa 2784,141,
Northwest Africa 2785,264,
Northwest Africa 2786,30,
Northwest Africa 2787,32,
Northwest Africa 2788,1390,
Northwest Africa 2791,383,
Northwest Africa 2792,19,
Northwest Africa 2793,768,
Northwest Africa 2794,145,
Northwest Africa 2795,329,
Northwest Africa 2796,34,
Northwest Africa 2797,1211,
Northwest Africa 2798,1805,
Northwest Africa 2799,1311,
Northwest Africa 280,1490,
Northwest Africa 2800,686,
Northwest Africa 2801,7700,
Northwest Africa 2802,30,
Northwest Africa 2803,4500,
Northwest Africa 2806,148,
Northwest Africa 2807,950,
Northwest Africa 2808,2875,
Northwest Africa 2809,4850,
Northwest Africa 281,2082,
Northwest Africa 2810,2073,
Northwest Africa 2811,950,
Northwest Africa 2812,355,
Northwest Africa 2813,194,
Northwest Africa 2814,76,
Northwest Africa 2815,147,
Northwest Africa 2816,114,
Northwest Africa 2817,337,
Northwest Africa 2818,156,
Northwest Africa 2819,80,
Northwest Africa 2820,200,
Northwest Africa 2821,384,
Northwest Africa 2822,1675,
Northwest Africa 2823,144,
Northwest Africa 2824,485,
Northwest Africa 2825,664,
Northwest Africa 2826,685,
Northwest Africa 2827,1000,
Northwest Africa 2828,8672,
Northwest Africa 2829,687,
Northwest Africa 2830,1130,
Northwest Africa 2831,429,
Northwest Africa 2832,359,
Northwest Africa 2833,2112,
Northwest Africa 2834,792,
Northwest Africa 2835,1233,
Northwest Africa 2836,1300,
Northwest Africa 2837,41,
Northwest Africa 2838,253,
Northwest Africa 2839,144,
Northwest Africa 284,762,
Northwest Africa 2840,129,
Northwest Africa 2841,190,
Northwest Africa 2842,423,
Northwest Africa 2843,404,
Northwest Africa 2844,837,
Northwest Africa 2845,546,
Northwest Africa 2846,352,
Northwest Africa 2847,283,
Northwest Africa 2848,538,
Northwest Africa 2849,846,
Northwest Africa 2850,561,
Northwest Africa 2851,417,
Northwest Africa 2852,398,
Northwest Africa 2853,1000,
Northwest Africa 2854,167,
Northwest Africa 2856,1609,
Northwest Africa 2857,5866,
Northwest Africa 2858,2335,
Northwest Africa 2859,920,
Northwest Africa 2860,878,
Northwest Africa 2861,2029,
Northwest Africa 2862,486,
Northwest Africa 2863,480,
Northwest Africa 2864,90,
Northwest Africa 2865,1503,
Northwest Africa 2866,213,
Northwest Africa 2867,60,
Northwest Africa 2871,3467,
Northwest Africa 2872,859,
Northwest Africa 2873,36,
Northwest Africa 2874,1800,
Northwest Africa 2875,32,
Northwest Africa 2876,52,
Northwest Africa 2877,19200,
Northwest Africa 2878,120,
Northwest Africa 2879,2380,
Northwest Africa 2880,63,
Northwest Africa 2881,96,
Northwest Africa 2882,47,
Northwest Africa 2883,145,
Northwest Africa 2884,15441,
Northwest Africa 2885,11480,
Northwest Africa 2886,754,
Northwest Africa 2890,132,
Northwest Africa 2895,43,
Northwest Africa 2897,23,
Northwest Africa 2898,136,
Northwest Africa 2899,11,
Northwest Africa 2900,1375,
Northwest Africa 2901,308,
Northwest Africa 2902,1000,
Northwest Africa 2904,29,
Northwest Africa 2905,205,
Northwest Africa 2906,215,
Northwest Africa 2907,586,
Northwest Africa 2908,148,
Northwest Africa 2910,41,
Northwest Africa 2911,113,
Northwest Africa 2912,203,
Northwest Africa 2913,100,
Northwest Africa 2914,399,
Northwest Africa 2917,256,
Northwest Africa 2918,237,
Northwest Africa 2919,1214,
Northwest Africa 2920,734,
Northwest Africa 2921,195,
Northwest Africa 2922,186,
Northwest Africa 2923,16000,
Northwest Africa 2924,180000,
Northwest Africa 2927,171,
Northwest Africa 2932,206,
Northwest Africa 2933,511,
Northwest Africa 2935,460,
Northwest Africa 2936,152,
